Movie Name,Rating(10),Genre,Language,Description
Bahubali,6.4,Drama|Romance,kannada;telugu,A drama drama featuring excellent performances and emotional depth.
RRR,6.5,Family,hindi;telugu,"An exciting family movie blending action, emotion, and music."
KGF Chapter 1,8.1,Romance,telugu,KGF Chapter 1 is an engaging romance film appreciated for its strong storyline.
KGF Chapter 2,6.8,Romance,telugu,"An exciting romance movie blending action, emotion, and music."
Vikram,8.5,Fantasy,bengali;telugu,A fantasy drama featuring excellent performances and emotional depth.
Leo,8.1,Musical,telugu,A musical drama featuring excellent performances and emotional depth.
Jawan,7.5,Fantasy|Adventure,kannada;telugu,A fantasy drama featuring excellent performances and emotional depth.
Pathaan,9.4,Fantasy,marathi,Pathaan is an engaging fantasy film appreciated for its strong storyline.
Animal,7.3,Romance,telugu,A commercial romance entertainer with powerful scenes and visuals.
3 Idiots,6.9,Action|Comedy,telugu,A critically acclaimed action known for direction and cinematography.
Dangal,6.4,Mythology,bengali,Dangal is an engaging mythology film appreciated for its strong storyline.
PK,7.0,Mythology,marathi,"An exciting mythology movie blending action, emotion, and music."
Gully Boy,8.5,Fantasy,telugu,A fantasy drama featuring excellent performances and emotional depth.
Kantara,7.0,Biography|Drama,hindi,A biography drama featuring excellent performances and emotional depth.
Sita Ramam,7.3,Comedy,punjabi,A commercial comedy entertainer with powerful scenes and visuals.
Kurup,7.3,Crime,malayalam,A commercial crime entertainer with powerful scenes and visuals.
Minnal Murali,9.3,Fantasy|Adventure,hindi,"An exciting fantasy movie blending action, emotion, and music."
Sarkar,6.6,Drama|Romance,malayalam,A drama drama featuring excellent performances and emotional depth.
Master,7.3,Musical,malayalam,A commercial musical entertainer with powerful scenes and visuals.
Pushpa,8.7,Biography|Drama,malayalam,Pushpa is an engaging biography film appreciated for its strong storyline.
Drishyam,7.4,Sport,hindi,A sport drama featuring excellent performances and emotional depth.
Drishyam 2,9.1,Action|Drama,marathi,A action drama featuring excellent performances and emotional depth.
Vikram Vedha,7.7,Drama|Romance,punjabi,A drama drama featuring excellent performances and emotional depth.
Asuran,6.5,Adventure,kannada,"An exciting adventure movie blending action, emotion, and music."
Tanhaji,9.1,Sci-Fi,bengali,A commercial sci-fi entertainer with powerful scenes and visuals.
War,9.5,Family,tamil,"An exciting family movie blending action, emotion, and music."
Kabir Singh,6.3,History,telugu,Kabir Singh is an engaging history film appreciated for its strong storyline.
Arjun Reddy,8.2,Thriller,telugu,"An exciting thriller movie blending action, emotion, and music."
Super Deluxe,7.3,Romance,punjabi,"An exciting romance movie blending action, emotion, and music."
Ratsasan,9.4,Adventure,telugu,Ratsasan is an engaging adventure film appreciated for its strong storyline.
Ala Vaikunthapurramuloo,9.1,Crime|Thriller,telugu,A commercial crime entertainer with powerful scenes and visuals.
Maharshi,7.0,Comedy,tamil,A critically acclaimed comedy known for direction and cinematography.
Rangasthalam,9.3,Action,kannada,"An exciting action movie blending action, emotion, and music."
Manikarnika,6.6,Biography|Drama,hindi,A commercial biography entertainer with powerful scenes and visuals.
Sanju,7.8,Drama|Romance,malayalam,A drama drama featuring excellent performances and emotional depth.
Padmaavat,8.7,Mystery,telugu,"An exciting mystery movie blending action, emotion, and music."
RRR Hindi,7.7,Sport,hindi,A commercial sport entertainer with powerful scenes and visuals.
Robot 2.0,6.8,Biography,malayalam,"An exciting biography movie blending action, emotion, and music."
Baahubali 2 Hindi,6.3,Romance,punjabi,Baahubali 2 Hindi is an engaging romance film appreciated for its strong storyline.
KGF Hindi,7.9,Biography|Drama,tamil,A biography drama featuring excellent performances and emotional depth.
Charlie 777,7.7,Crime|Thriller,tamil,A commercial crime entertainer with powerful scenes and visuals.
Jersey,9.1,Animation,bengali,A animation drama featuring excellent performances and emotional depth.
Kumbalangi Nights,8.6,Mythology,malayalam,A commercial mythology entertainer with powerful scenes and visuals.
Karnan,9.5,Horror,marathi,A critically acclaimed horror known for direction and cinematography.
Super 30,7.6,Animation,malayalam,A animation drama featuring excellent performances and emotional depth.
Lagaan,7.2,Romance,malayalam,"An exciting romance movie blending action, emotion, and music."
Swades,6.0,Family,telugu,A family drama featuring excellent performances and emotional depth.
Queen,9.2,Romance,marathi,Queen is an engaging romance film appreciated for its strong storyline.
Kahaani,6.8,Animation,punjabi,A animation drama featuring excellent performances and emotional depth.
Andhadhun,6.5,Mythology,punjabi,A mythology drama featuring excellent performances and emotional depth.
Drishyam Hindi,8.8,History,malayalam,Drishyam Hindi is an engaging history film appreciated for its strong storyline.
PS1,8.3,Comedy,marathi,A critically acclaimed comedy known for direction and cinematography.
PS2,7.6,Sci-Fi,telugu,PS2 is an engaging sci-fi film appreciated for its strong storyline.
Kaithi,7.4,Drama,marathi,Kaithi is an engaging drama film appreciated for its strong storyline.
Vada Chennai,6.7,Family,punjabi,A family drama featuring excellent performances and emotional depth.
Kabzaa,6.6,Sci-Fi,punjabi,A sci-fi drama featuring excellent performances and emotional depth.
Indian Movie 1,7.6,Romance,hindi,Indian Movie 1 is an engaging romance film appreciated for its strong storyline.
Indian Movie 2,9.5,Drama|Romance,telugu,Indian Movie 2 is an engaging drama film appreciated for its strong storyline.
Indian Movie 3,9.0,Biography|Drama,tamil,A critically acclaimed biography known for direction and cinematography.
Indian Movie 4,7.7,History,bengali,Indian Movie 4 is an engaging history film appreciated for its strong storyline.
Love Story 5,7.3,Crime,bengali,A commercial crime entertainer with powerful scenes and visuals.
Indian Movie 6,7.0,Musical,punjabi,A musical drama featuring excellent performances and emotional depth.
Indian Movie 7,7.0,Fantasy,telugu,"An exciting fantasy movie blending action, emotion, and music."
Indian Movie 8,7.9,Comedy|Romance,marathi,Indian Movie 8 is an engaging comedy film appreciated for its strong storyline.
Veeram 9,8.0,Drama,tamil,Veeram 9 is an engaging drama film appreciated for its strong storyline.
Love Story 10,6.3,Animation,tamil,Love Story 10 is an engaging animation film appreciated for its strong storyline.
Indian Movie 11,6.2,Action|Comedy,malayalam,A critically acclaimed action known for direction and cinematography.
Indian Movie 12,9.3,Comedy,malayalam,"An exciting comedy movie blending action, emotion, and music."
Action Hero 13,6.1,Action|Comedy,hindi,A critically acclaimed action known for direction and cinematography.
Indian Movie 14,8.0,Crime|Thriller,marathi,A commercial crime entertainer with powerful scenes and visuals.
Love Story 15,8.3,Fantasy,marathi,A fantasy drama featuring excellent performances and emotional depth.
Indian Movie 16,7.4,Adventure,kannada,A critically acclaimed adventure known for direction and cinematography.
Indian Movie 17,9.3,Sport,hindi,Indian Movie 17 is an engaging sport film appreciated for its strong storyline.
Veeram 18,8.2,Musical,hindi,Veeram 18 is an engaging musical film appreciated for its strong storyline.
Indian Movie 19,6.7,Mythology,kannada,A mythology drama featuring excellent performances and emotional depth.
Love Story 20,9.1,Mystery,malayalam,A commercial mystery entertainer with powerful scenes and visuals.
Indian Movie 21,6.6,Biography,kannada,"An exciting biography movie blending action, emotion, and music."
Indian Movie 22,7.9,Drama|Romance,kannada,Indian Movie 22 is an engaging drama film appreciated for its strong storyline.
Indian Movie 23,6.9,Thriller,hindi,"An exciting thriller movie blending action, emotion, and music."
Indian Movie 24,7.0,Thriller,malayalam,A commercial thriller entertainer with powerful scenes and visuals.
Love Story 25,8.4,Fantasy,kannada,"An exciting fantasy movie blending action, emotion, and music."
Action Hero 26,6.9,History,telugu,Action Hero 26 is an engaging history film appreciated for its strong storyline.
Veeram 27,7.5,Drama|Romance,kannada,Veeram 27 is an engaging drama film appreciated for its strong storyline.
Indian Movie 28,7.2,Action,tamil,A commercial action entertainer with powerful scenes and visuals.
Indian Movie 29,8.6,Crime,bengali,"An exciting crime movie blending action, emotion, and music."
Love Story 30,6.4,Action,tamil,"An exciting action movie blending action, emotion, and music."
Indian Movie 31,8.9,Drama,tamil,A critically acclaimed drama known for direction and cinematography.
Indian Movie 32,6.1,Thriller,marathi,Indian Movie 32 is an engaging thriller film appreciated for its strong storyline.
Indian Movie 33,6.7,Mystery,malayalam,Indian Movie 33 is an engaging mystery film appreciated for its strong storyline.
Indian Movie 34,8.7,Mystery,bengali,"An exciting mystery movie blending action, emotion, and music."
Love Story 35,6.5,Comedy|Romance,malayalam,A comedy drama featuring excellent performances and emotional depth.
Veeram 36,9.1,Crime,telugu,A crime drama featuring excellent performances and emotional depth.
Indian Movie 37,9.2,Comedy|Romance,bengali,A comedy drama featuring excellent performances and emotional depth.
Indian Movie 38,6.6,Adventure,hindi,A critically acclaimed adventure known for direction and cinematography.
Action Hero 39,9.0,Drama,malayalam,A drama drama featuring excellent performances and emotional depth.
Love Story 40,7.2,Musical,malayalam,A musical drama featuring excellent performances and emotional depth.
Indian Movie 41,8.3,Action,bengali,A commercial action entertainer with powerful scenes and visuals.
Indian Movie 42,9.0,Adventure,kannada,A commercial adventure entertainer with powerful scenes and visuals.
Indian Movie 43,7.8,Drama|Romance,marathi,Indian Movie 43 is an engaging drama film appreciated for its strong storyline.
Indian Movie 44,9.1,Comedy,kannada,A comedy drama featuring excellent performances and emotional depth.
Veeram 45,9.4,Action|Drama,kannada,Veeram 45 is an engaging action film appreciated for its strong storyline.
Indian Movie 46,8.1,Comedy,marathi,A commercial comedy entertainer with powerful scenes and visuals.
Indian Movie 47,8.1,Sci-Fi,hindi,A critically acclaimed sci-fi known for direction and cinematography.
Indian Movie 48,6.7,Action|Drama,telugu,A critically acclaimed action known for direction and cinematography.
Indian Movie 49,7.8,Action,malayalam,A commercial action entertainer with powerful scenes and visuals.
Love Story 50,6.2,Sci-Fi,marathi,"An exciting sci-fi movie blending action, emotion, and music."
Indian Movie 51,8.3,Sport,hindi,A commercial sport entertainer with powerful scenes and visuals.
Action Hero 52,7.1,Animation,bengali,A commercial animation entertainer with powerful scenes and visuals.
Indian Movie 53,8.4,Horror,tamil,A horror drama featuring excellent performances and emotional depth.
Veeram 54,8.3,Sci-Fi,bengali,A sci-fi drama featuring excellent performances and emotional depth.
Love Story 55,8.0,Action|Comedy,bengali,"An exciting action movie blending action, emotion, and music."
Indian Movie 56,7.1,Action,malayalam,A critically acclaimed action known for direction and cinematography.
Indian Movie 57,8.1,Action|Drama,marathi,A critically acclaimed action known for direction and cinematography.
Indian Movie 58,7.5,Musical,malayalam,"An exciting musical movie blending action, emotion, and music."
Indian Movie 59,8.8,History,tamil,Indian Movie 59 is an engaging history film appreciated for its strong storyline.
Love Story 60,7.8,Biography,marathi,Love Story 60 is an engaging biography film appreciated for its strong storyline.
Indian Movie 61,6.8,Biography|Drama,kannada,A biography drama featuring excellent performances and emotional depth.
Indian Movie 62,6.5,Fantasy,telugu,A fantasy drama featuring excellent performances and emotional depth.
Veeram 63,8.1,History,hindi,A critically acclaimed history known for direction and cinematography.
